Artist,Streams,Daily Streams,Genre,Release Year,Peak Position,Weeks on Chart,Lyrics Sentiment,TikTok Virality,Danceability,Acousticness,Energy,Cluster
ElectroPulse,647158984.0,3030767.0,House,2019.0,74.0,49.0,0.010000000000000009,31.0,0.7,0.16,0.79,1
Celestial Harmony,422091509.0,1198713.0,Techno,2015.0,76.0,68.0,-0.020000000000000018,41.0,0.32,0.86,0.54,0
The Midnight Howl,334523777.0,1501887.0,EDM,2007.0,4.0,84.0,-0.96,78.0,0.78,0.82,0.85,1
EchoSync,409169396.0,3266198.0,K-Pop,2019.0,12.0,93.0,-0.71,45.0,0.9400000000000001,0.65,0.15,1
Jay Zenith,416349010.0,1544518.0,Latin,2007.0,82.0,32.0,0.3500000000000001,1.0,0.65,0.92,0.3,0
Neon Vortex,759734458.0,4685678.0,Hip-Hop,2006.0,28.000000000000004,94.0,0.6600000000000001,64.0,0.13,0.58,0.88,1
Crimson Echo,237638954.0,217841.0,Techno,2014.0000000000002,12.0,70.0,0.14000000000000012,84.0,0.74,0.79,0.52,0
Retro Resonance,314226433.0,270491.0,Latin,2023.0,68.0,40.0,-0.75,12.0,0.61,0.48,0.43,0
Aurora Soundwave,683109122.0,4535153.0,Pop,2017.0,54.0,7.000000000000001,0.6800000000000002,9.0,0.25,0.3,0.47000000000000003,0
EchoSync,414664152.0,426190.0,Rock,1998.0,1.0,23.0,0.30000000000000004,62.0,0.29,0.93,0.36,0
Crimson Echo,596182747.0,1597436.0,Folk,2024.0,15.0,23.0,-0.99,60.0,0.57,0.43,0.25,1
Horizon Flow,672343070.0,4483290.0,Rock,2023.0,26.0,97.0,0.17999999999999994,70.0,0.18,0.77,0.12,0
Bass Surge,352817824.0,3833583.0,Electronic,2002.0,28.000000000000004,30.999999999999996,0.15999999999999992,46.0,0.87,0.08,0.73,1
EchoSync,106541081.0,3070279.0,Indie,1998.0,96.0,78.0,-0.97,92.0,0.72,0.5,0.84,1
Horizon Flow,38203016.0,3562100.9999999995,Jazz,2008.0,98.0,51.0,0.050000000000000044,89.0,0.28,0.79,0.82,1
Luna Nova,80089044.0,2578648.0,Drum & Bass,2001.0,7.000000000000001,53.00000000000001,0.1499999999999999,64.0,0.74,0.4,0.89,1
Retro Resonance,94614375.0,31301.0,EDM,2013.0,74.0,1.0,-0.79,11.0,0.8,0.23,0.38,1
DJ Thunder,16650001.0,2127765.0,Trap,1999.0,15.0,9.999999999999998,0.26,22.0,0.44999999999999996,0.81,0.88,0
Shadow Beats,526296850.0,3989671.0,Electronic,2009.0,3.0,101.0,-0.52,80.0,0.93,0.44,0.87,1
Crimson Echo,183897765.0,3235871.0,Latin,2019.0,36.0,57.0,-0.35,94.0,0.26,0.75,0.22,0
Celestial Harmony,671709155.0,3474446.0,EDM,1995.0,56.00000000000001,96.0,0.6600000000000001,67.0,0.39,0.07,0.92,1
Retro Resonance,113006322.0,1481868.0,Metal,2004.0,55.0,60.0,-0.48,2.0,0.66,0.47,0.41,0
Celestial Harmony,43103643.0,3969164.0,Rock,2018.0,76.0,40.0,-0.7,12.0,0.95,0.54,0.89,0
Luna Nova,391152160.0,2925164.0,Blues,2009.9999999999998,73.0,28.000000000000004,0.6299999999999999,67.0,0.82,0.72,0.67,1
Aurora Soundwave,520011885.99999994,3309271.9999999995,Metal,1999.0,87.0,26.0,0.030000000000000027,94.0,0.5,0.47,0.32,0
EchoSync,642822882.0,4902119.0,Trap,2021.0,26.0,21.0,-0.5,52.0,0.19,0.75,0.8999999999999999,0
Horizon Flow,160414019.0,1283964.0,Pop,2019.0,90.0,40.0,-0.31000000000000005,9.0,0.13,0.55,0.12,0
Luna Nova,498528229.0,4389762.0,Blues,2002.0,50.0,45.0,-0.62,13.0,0.75,0.29,0.65,1
Horizon Flow,218980029.00000003,4106473.9999999995,EDM,1992.0,52.0,22.0,-0.74,21.0,0.25,0.51,0.44999999999999996,1
Sofia Carter,23284978.0,3189440.0,Punk,1999.0,27.0,91.0,-0.85,12.0,0.42,0.35,0.46,0
Celestial Harmony,698668642.0,2851284.0,Rock,2022.0,13.0,101.0,-0.97,86.0,0.8,0.82,0.73,0
Celestial Harmony,415844289.0,1859097.9999999998,Latin,2015.0,16.0,99.0,0.0,69.0,0.24,0.88,0.66,0
Neon Vortex,576811485.0,3800737.0,Punk,2025.0,85.0,17.0,0.16999999999999993,23.0,0.16,0.94,0.21,0
DJ Thunder,8554558.0,3117199.0,Folk,2000.0,57.99999999999999,7.000000000000001,0.27,24.0,0.49000000000000005,0.6,0.67,1
Firefly Symphony,590350092.0,655663.0,EDM,2016.0,44.0,12.0,0.71,1.0,0.29,0.28,0.64,1
Luna Nova,342181834.0,773273.0,Folk,2004.0,84.0,73.0,0.98,39.0,0.3,0.43,0.66,1
DJ Thunder,235564779.0,570154.0,R&B,2011.9999999999998,48.0,78.0,-0.73,38.0,0.76,0.45,0.83,0
Ava & The Ocean,277594549.0,1401259.0,Hip-Hop,2006.0,98.99999999999999,4.0,0.51,32.0,0.3,0.96,0.76,1
Samantha Lee,251158373.0,4187714.0,Latin,2019.0,63.00000000000001,30.999999999999996,0.75,34.0,0.23,0.2,0.2,0
Ava & The Ocean,699566719.0,2106633.0,K-Pop,2019.0,45.0,103.0,0.07000000000000006,28.999999999999996,0.23,0.74,0.82,1
EchoSync,138171796.0,4260190.0,Jazz,2025.0,100.0,60.0,-0.92,96.0,0.34,0.61,0.85,1
Samantha Lee,222698822.00000003,3990011.0,Punk,1999.0,85.0,5.0,0.3799999999999999,66.0,0.9100000000000001,0.24,0.31,0
Liam Harper,299660169.0,3242763.0,Indie,2014.0000000000002,50.0,55.0,-0.67,61.0,0.69,0.92,0.71,1
Aurora Soundwave,355735306.0,1691227.0,Reggae,2000.0,68.0,95.0,0.4099999999999999,2.0,0.99,0.12,0.77,0
The Midnight Howl,592384124.0,233338.0,House,2003.0,3.0,22.0,-0.68,30.0,0.65,0.41,0.44,1
Horizon Flow,653078363.0,524821.0,Rock,1990.0,34.0,27.0,0.43999999999999995,33.0,0.77,0.57,0.43,0
Luna Nova,701398964.0,1310477.0,Rock,1995.0,64.0,33.0,0.20999999999999996,94.0,0.2,0.04,0.72,0
ElectroPulse,396386921.0,3000007.0,Drum & Bass,2020.0,69.0,98.0,-0.62,60.0,0.14,0.93,0.88,1
Bass Surge,124556988.00000001,3417230.0,Drum & Bass,2016.0,1.0,1.0,-0.97,9.0,0.93,0.24,0.18,1
The Midnight Howl,628752915.0,471778.0,Drum & Bass,2015.0,21.0,95.0,-0.20999999999999996,28.999999999999996,0.73,0.27,0.44999999999999996,1
Firefly Symphony,623554018.0,1922716.9999999998,Indie,2013.0,23.0,21.0,-0.78,71.0,0.39,0.99,0.86,1
Luna Nova,221263227.0,4873543.0,Latin,2007.0,28.999999999999996,81.0,0.3700000000000001,57.00000000000001,0.37,0.26,0.53,0
Liam Harper,724020403.0,2463411.0,R&B,2001.0,59.0,88.0,-0.44999999999999996,52.0,0.33,0.2,0.77,0
EchoSync,236097650.00000003,3423466.0,K-Pop,2000.0,86.0,66.0,-0.8,79.0,0.82,0.18,0.21,1
ElectroPulse,219940078.0,4658876.0,Hip-Hop,2017.0,15.0,69.0,-0.12,91.0,0.8,0.9,0.52,1
Luna Nova,765843061.0,512139.0,Rock,2002.0,98.0,38.0,0.4099999999999999,6.0,0.86,0.58,0.31,0
ElectroPulse,57281929.99999999,4171358.0,Reggae,1990.0,14.000000000000002,12.0,-0.6,24.0,0.17,0.55,0.31,0
Horizon Flow,281612459.0,4356203.0,Indie,2011.9999999999998,19.0,49.0,-0.07000000000000006,53.0,0.9100000000000001,0.24,0.9100000000000001,1
The Midnight Howl,751340217.0,3769809.0,Latin,1993.0,80.0,67.0,-0.64,13.0,0.89,0.5,0.8999999999999999,0
Horizon Flow,646484149.0,2235000.0,House,1996.0,8.0,2.0,-0.41999999999999993,41.0,0.64,0.19,0.24,1
Neon Vortex,329989014.0,3643973.0,EDM,2019.0,87.0,71.0,-0.49,97.0,0.76,0.31,0.96,1
ElectroPulse,474724683.0,1135078.0,Drum & Bass,2022.0,72.0,58.99999999999999,0.8999999999999999,28.999999999999996,0.37,0.63,0.93,1
Firefly Symphony,565460447.0,889502.0000000001,Metal,2014.0000000000002,65.0,2.0,0.56,37.0,0.21,0.16,0.85,0
The Midnight Howl,628044644.0,3254387.0,Electronic,1997.0,57.0,18.0,0.030000000000000027,51.0,0.44,0.21,0.22,1
DJ Thunder,476968069.99999994,4236512.0,K-Pop,1993.0,13.0,90.0,-0.33000000000000007,38.0,0.29,0.92,0.79,1
EchoSync,506506383.0,3399816.9999999995,Folk,2007.0,79.0,49.0,0.3799999999999999,2.0,0.99,0.87,0.43,1
Horizon Flow,283931068.0,787928.0000000001,Metal,2022.0,28.000000000000004,92.0,0.95,24.0,0.8999999999999999,0.7,0.69,0
Urban Rhapsody,636241473.0,370104.0,Metal,2016.0,92.0,61.99999999999999,-0.36,52.0,0.93,0.47,0.28,0
Ava & The Ocean,284639961.0,4272925.0,EDM,2007.0,57.99999999999999,54.0,-0.56,42.0,0.92,0.56,0.31,1
Luna Nova,796426043.0,4957214.0,R&B,2013.0,21.0,81.0,-0.72,22.0,0.57,0.5,0.3,0
Neon Vortex,711077496.0,225253.0,EDM,2002.0,59.0,78.0,0.14000000000000012,28.000000000000004,0.93,0.42,0.84,1
Sofia Carter,424436650.0,1547741.0,Metal,2011.0,90.0,83.0,0.6000000000000001,46.0,0.14,0.93,0.2,0
Crimson Echo,485353639.0,4060831.0,House,1996.0,66.0,76.0,-0.31000000000000005,43.0,0.69,0.72,0.28,1
Samantha Lee,313856558.0,1749122.0,Metal,2018.0,3.0,58.99999999999999,-0.51,91.0,0.61,0.01,0.41,0
Crimson Echo,698258221.0,4532845.0,Punk,2000.0,90.0,57.0,0.8900000000000001,12.0,0.92,0.41,0.14,0
Sofia Carter,678224844.0,1654750.0,Blues,2006.0,62.0,98.0,0.8799999999999999,9.0,0.69,0.52,0.72,1
Crimson Echo,328564207.0,1939763.0,EDM,1995.0,33.0,75.0,0.25,60.0,0.22,0.02,0.27,1
Shadow Beats,262116860.0,1843842.0,Jazz,1991.0,31.0,45.0,0.16999999999999993,38.0,0.52,0.17,0.86,1
Retro Resonance,548179105.0,2386371.0,House,2011.0,42.0,57.0,-0.53,40.0,0.31,0.84,0.12,1
Liam Harper,365108907.0,4527364.0,R&B,1998.0,93.0,66.0,0.8399999999999999,2.0,0.96,0.08,0.12,0
Aurora Soundwave,370101435.0,4747937.0,Trap,2014.0000000000002,98.0,25.0,-0.47,80.0,0.15,0.35,0.83,0
Crimson Echo,153835807.0,3681075.0,EDM,2025.0,64.0,9.0,0.71,11.0,0.9100000000000001,0.72,0.53,1
EchoSync,245951359.0,48699.0,Trap,1996.0,98.99999999999999,17.0,0.78,96.0,0.46,0.97,0.25,0
Sofia Carter,128956974.0,4660667.0,Punk,1991.0,52.99999999999999,32.0,-0.33000000000000007,80.0,0.51,0.01,0.77,0
Horizon Flow,604911046.0,2730426.0,House,2008.0,28.000000000000004,52.0,-0.3400000000000001,84.0,0.67,0.73,0.9699999999999999,1
Celestial Harmony,734077926.0,2432784.0,Indie,2011.0,28.000000000000004,7.000000000000001,-0.75,71.0,0.57,0.53,0.57,1
Samantha Lee,707833199.0,953617.9999999999,Blues,1992.0,16.0,12.0,-0.85,63.0,0.64,0.53,0.2,1
Ava & The Ocean,62907472.99999999,3700758.0000000005,Latin,2009.0,77.0,32.0,0.25,34.0,0.47000000000000003,0.59,0.31,0
Urban Rhapsody,27350107.0,592229.0,Trap,1994.0,43.0,90.0,0.6000000000000001,33.0,0.19,0.47,0.92,0
EchoSync,105331567.0,224660.0,Rock,1999.0,52.99999999999999,14.000000000000002,0.72,99.0,0.9699999999999999,0.22,0.44999999999999996,0
Ava & The Ocean,677997779.0,3802194.0,Lo-Fi,2025.0,52.99999999999999,51.0,0.28,8.0,0.39,0.1,0.64,0
Bass Surge,236627478.0,1127208.0,Indie,2009.9999999999998,96.0,1.0,-0.42999999999999994,91.0,0.83,0.62,0.29,1
ElectroPulse,736307693.0,512375.0,Punk,1999.0,87.0,75.0,0.8900000000000001,42.0,0.27,0.32,0.42,0
Urban Rhapsody,689563919.0,125731.00000000001,Synthwave,1996.0,21.0,24.0,-0.61,57.00000000000001,0.8999999999999999,0.75,0.47000000000000003,0
Luna Nova,60598206.0,3891897.0,Trap,2018.0,41.0,67.0,0.17999999999999994,100.0,0.73,0.3,0.71,0
Neon Vortex,317723344.0,1142429.0,Indie,2016.0,23.0,9.999999999999998,0.29000000000000004,61.0,0.99,0.05,0.9100000000000001,1
Neon Vortex,396462693.0,3540091.0,Synthwave,2024.0,76.0,39.0,0.51,92.0,0.31,0.8,0.28,0
Luna Nova,133772793.0,1576436.0,Rock,2003.0,94.0,89.0,0.3400000000000001,49.0,0.13,0.22,0.52,0
Aurora Soundwave,792013562.0,2761400.0,Indie,2008.0,90.0,87.0,-0.050000000000000044,96.0,0.44,0.53,0.92,1
Celestial Harmony,544147744.0,1052217.0,House,2020.0,83.0,33.0,0.14000000000000012,17.0,0.93,0.41,0.74,1
Bass Surge,43029715.0,76911.0,Folk,2008.0,100.0,2.0,-0.77,6.0,0.16,0.9,0.52,1
Samantha Lee,58079642.0,3951951.0,Drum & Bass,2009.9999999999998,70.0,19.0,-0.63,26.0,0.66,0.86,0.17,1
Liam Harper,559489217.0,1914785.0,Latin,2023.0,64.0,1.0,-0.35,3.0,0.1,1.0,0.71,0
Shadow Beats,317184187.0,4743745.0,House,2001.0,33.0,39.0,-0.66,34.0,0.93,0.67,0.71,1
DJ Thunder,309335184.0,2118117.0,Rock,2021.0,20.0,77.0,-0.8,17.0,0.8999999999999999,0.09,0.75,0
Sofia Carter,156902440.0,1604414.0,Lo-Fi,2005.0,87.0,54.0,0.96,0.0,0.21,0.62,0.11,0
Samantha Lee,579864351.0,4255524.0,Drum & Bass,2009.9999999999998,91.0,81.0,0.6000000000000001,83.0,0.83,0.14,0.11,1
Horizon Flow,769251075.0,1918911.0,Punk,1997.0,57.99999999999999,4.0,-0.99,81.0,0.73,0.02,0.69,0
Neon Vortex,525633057.0,1930124.0,Techno,2003.0,30.0,9.0,-0.15000000000000002,6.0,0.68,0.08,0.8,0
The Midnight Howl,173085046.0,1856200.0,K-Pop,2011.0,37.0,88.0,-0.17000000000000004,94.0,0.44,0.78,0.9800000000000001,1
Firefly Symphony,103128975.00000001,535414.0,Reggae,2007.0,97.0,88.0,0.8900000000000001,26.0,0.86,0.48,0.9800000000000001,0
Liam Harper,632358754.0,4489890.0,Hip-Hop,2025.0,14.000000000000002,9.999999999999998,-0.13,79.0,0.19,0.5,0.8,1
Bass Surge,585024548.0,2253015.0,Techno,2011.0,62.0,91.0,-0.6,71.0,0.85,0.92,0.8999999999999999,0
Liam Harper,342315842.0,2960778.0,Synthwave,1996.0,74.0,19.0,0.54,74.0,0.81,0.25,0.24,0
Jay Zenith,798575636.0,2073865.0,Indie,2011.0,66.0,54.0,-0.63,7.000000000000001,0.11,0.7,0.19,1
Shadow Beats,560400700.0,2604545.0,Rock,2019.0,72.0,70.0,-0.050000000000000044,46.0,0.43,0.39,0.37,0
Aurora Soundwave,420532037.00000006,1262083.0,Blues,2008.0,59.0,92.0,-0.22999999999999998,11.0,0.18,0.02,0.52,1
Neon Vortex,554798591.0,744133.0,Indie,2006.0,57.99999999999999,53.00000000000001,0.5800000000000001,32.0,0.11,0.63,0.24,1
Shadow Beats,681827439.0,1895964.0,Synthwave,2014.0000000000002,84.0,82.0,0.18999999999999995,87.0,0.53,0.35,0.31,0
Urban Rhapsody,323433140.0,4016511.0,Pop,2018.0,60.0,9.999999999999998,-0.72,94.0,0.4,0.32,0.35,0
The Midnight Howl,255126893.0,4303356.0,Techno,2021.0,40.0,20.0,-0.88,62.0,0.73,0.91,0.32,0
Bass Surge,426932917.0,3371307.0,K-Pop,1990.0,27.0,76.0,0.6600000000000001,82.0,0.55,0.98,0.61,1
Jay Zenith,644807784.0,100132.99999999999,Country,2006.0,61.0,24.0,0.3599999999999999,75.0,0.9400000000000001,0.67,0.71,1
Sofia Carter,279336062.0,4898265.0,Pop,1996.0,74.0,76.0,0.29000000000000004,34.0,0.85,0.26,0.37,0
Samantha Lee,181424049.0,1473682.0,Rock,2008.0,19.0,1.0,0.45999999999999996,74.0,0.47000000000000003,0.89,0.69,0
Neon Vortex,335120600.0,3812860.0,Metal,2002.0,89.0,85.0,0.8199999999999998,71.0,0.49000000000000005,0.86,0.16,0
Samantha Lee,89748581.0,4563805.0,House,2001.0,85.0,99.0,-0.13,40.0,0.25,0.7,0.89,1
Horizon Flow,73091152.0,3976697.0,Country,2011.0,74.0,92.0,0.3400000000000001,71.0,0.92,0.05,0.51,1
DJ Thunder,148033462.0,4719479.0,Trap,2011.0,87.0,4.0,0.69,60.0,0.64,0.23,0.54,0
Neon Vortex,559786537.0,2898135.0,Pop,2024.0,34.0,22.0,0.9300000000000002,87.0,0.64,0.2,0.9699999999999999,0
Crimson Echo,34549317.0,4080210.0,Latin,2005.0,92.0,56.00000000000001,0.6800000000000002,50.0,0.13,0.13,0.99,0
Celestial Harmony,354543486.0,888907.0,Country,2003.0,25.0,18.0,0.1100000000000001,77.0,0.34,0.83,0.67,1
Luna Nova,170012117.0,3809641.0,Indie,2018.0,74.0,38.0,-0.63,36.0,0.59,0.32,0.41,1
Ava & The Ocean,153338016.0,1132398.0,Folk,1997.0,35.0,80.0,-0.13,25.0,0.61,0.51,0.16,1
Celestial Harmony,644856832.0,3782469.0000000005,EDM,2002.0,97.0,86.0,-0.17000000000000004,33.0,0.81,0.14,0.32,1
Luna Nova,309390902.0,4194729.0,Pop,1996.0,31.0,81.0,0.3900000000000001,63.0,0.51,0.01,0.96,0
Neon Vortex,323628607.0,2248678.0,Latin,2007.0,49.0,85.0,-0.81,75.0,0.81,0.65,0.46,0
DJ Thunder,783409147.0,1876353.0,Synthwave,2000.0,81.0,58.99999999999999,0.19999999999999996,16.0,0.26,0.4,0.49000000000000005,0
Aurora Soundwave,442171108.0,3026308.0,Hip-Hop,2008.0,36.0,43.0,0.5899999999999999,37.0,0.17,0.41,0.55,1
The Midnight Howl,593105416.0,2508955.0,Trap,1991.0,30.0,61.99999999999999,0.45999999999999996,33.0,0.41,0.98,0.58,0
Aurora Soundwave,462893296.00000006,4113599.0,K-Pop,1999.0,92.0,50.0,-0.21999999999999997,49.0,0.32,0.56,0.95,1
EchoSync,145517831.0,2960835.0,Trap,2013.0,8.0,33.0,-0.36,44.0,0.92,0.37,0.13,0
Horizon Flow,210997994.99999997,470407.0,Jazz,1995.0,7.000000000000001,8.0,0.72,14.000000000000002,0.46,0.05,0.3,1
Urban Rhapsody,49356597.0,106754.0,Drum & Bass,2021.0,93.0,39.0,-0.49,65.0,0.15,0.88,0.7,1
Liam Harper,661518502.0,4326519.0,Lo-Fi,1997.0,52.0,87.0,0.6200000000000001,39.0,0.99,0.9,0.74,0
Sofia Carter,778063649.0,1800400.9999999998,Indie,2016.0,98.99999999999999,79.0,0.09000000000000008,86.0,0.2,0.02,0.55,1
The Midnight Howl,305350509.0,1776756.0,Blues,2007.0,75.0,3.0,-0.18999999999999995,7.000000000000001,0.49000000000000005,0.52,0.32,1
Firefly Symphony,145349004.0,2139229.0,Latin,1995.0,72.0,41.0,-0.010000000000000009,26.0,0.72,0.9,0.79,0
Firefly Symphony,649228448.0,4806095.0,Blues,2025.0,71.0,56.00000000000001,0.3500000000000001,31.0,0.15,0.91,0.47000000000000003,1
Aurora Soundwave,653568577.0,3561389.0,Indie,2006.0,70.0,66.0,-0.29000000000000004,87.0,0.18,0.0,0.79,1
Liam Harper,712910568.0,3254893.0,Punk,2018.0,79.0,6.0,0.09000000000000008,35.0,0.4,0.66,0.63,0
Firefly Symphony,219775713.0,751075.0,Drum & Bass,2018.0,98.0,3.0,0.8399999999999999,97.0,0.75,0.86,0.83,1
Bass Surge,193066777.0,3815698.0,Lo-Fi,2019.0,87.0,41.0,-0.10999999999999999,53.0,0.44,0.43,0.29,0
ElectroPulse,69982224.0,4408791.0,Punk,1995.0,75.0,90.0,0.4099999999999999,78.0,0.16,0.69,0.9800000000000001,0
Ava & The Ocean,397796149.0,215576.99999999997,Folk,2025.0,13.0,96.0,0.08000000000000007,96.0,0.49000000000000005,0.56,0.63,1
Jay Zenith,110362008.00000001,3046828.0,Jazz,2014.0000000000002,56.00000000000001,88.0,0.41999999999999993,20.0,0.69,0.78,0.44999999999999996,1
Ava & The Ocean,361650443.0,1658802.0,Rock,1996.0,49.0,60.0,-0.94,46.0,0.86,0.9,0.68,0
Celestial Harmony,279244123.0,1777263.0,EDM,1993.0,79.0,54.0,-0.97,67.0,0.9800000000000001,0.48,0.33,1
EchoSync,300020061.0,4427687.0,Hip-Hop,2022.0,36.0,103.0,-0.84,18.0,0.54,0.09,0.53,1
Sofia Carter,73513181.0,2900555.0,Rock,2014.0000000000002,46.0,9.0,-0.58,42.0,0.55,0.42,0.76,0
Horizon Flow,608934939.0,431990.0,Lo-Fi,2020.0,81.0,73.0,-0.97,25.0,0.35,0.35,0.8,0
Sofia Carter,125235379.99999999,4085924.0,Country,2000.0,51.00000000000001,95.0,-0.44999999999999996,76.0,0.69,0.47,0.4,1
Neon Vortex,107742341.0,2045118.0,Lo-Fi,1990.0,79.0,30.0,-0.41999999999999993,69.0,0.66,0.54,0.9699999999999999,0
Ava & The Ocean,786754350.0,618327.0,Pop,2000.0,59.0,61.0,-0.20999999999999996,22.0,0.77,0.42,0.9400000000000001,0
Ava & The Ocean,385109006.0,3058626.0,Pop,2022.0,11.0,90.0,-0.3400000000000001,15.0,0.9100000000000001,0.3,0.74,0
Urban Rhapsody,234109110.0,2645054.0,Latin,2016.0,16.0,68.0,0.7,68.0,0.41,0.12,0.21,0
Bass Surge,713493014.0,3004950.0,Metal,2007.0,32.0,98.0,-0.66,87.0,0.93,0.73,0.71,0
Celestial Harmony,239162377.00000003,2690320.0,Synthwave,2017.0,16.0,26.0,-0.41999999999999993,63.0,0.52,0.11,0.51,0
Samantha Lee,350395946.0,1968512.0,Lo-Fi,1992.0,52.99999999999999,37.0,-0.58,56.00000000000001,0.67,0.86,0.76,0
Sofia Carter,20134430.0,51683.0,R&B,2009.0,85.0,30.999999999999996,-0.58,69.0,0.61,0.4,0.41,0
Horizon Flow,376310131.0,4751374.0,R&B,2015.0,44.0,49.0,0.6600000000000001,52.0,0.2,0.96,0.34,0
Jay Zenith,39244519.0,1829594.0,Country,2004.0,60.0,34.0,-1.0,53.0,0.16,0.02,0.2,1
Aurora Soundwave,196033360.0,42049.0,K-Pop,2019.0,46.0,60.0,-0.47,56.00000000000001,0.37,0.64,0.61,1
Crimson Echo,104338561.0,2869876.0,Drum & Bass,1997.0,54.0,72.0,-0.66,34.0,0.41,0.49,0.9800000000000001,1
Shadow Beats,483655083.99999994,4013315.0000000005,Techno,2002.0,30.0,97.0,0.3799999999999999,61.0,0.87,0.77,0.84,0
Jay Zenith,729057396.0,2342457.0,R&B,2009.9999999999998,20.0,54.0,-0.48,58.99999999999999,0.95,0.63,0.33,0
Retro Resonance,187559640.0,3672828.0000000005,Country,1995.0,45.0,7.000000000000001,0.43999999999999995,23.0,0.28,0.14,0.21,1
Firefly Symphony,120396926.0,1727679.0,Hip-Hop,1998.0,55.0,47.0,0.99,76.0,0.56,0.78,0.76,1
DJ Thunder,144939239.0,4725157.0,Trap,1993.0,100.0,32.0,0.15999999999999992,88.0,0.62,0.14,0.65,0
Luna Nova,244646864.0,3174020.0,Lo-Fi,2009.0,93.0,48.0,0.49,98.0,0.72,0.89,0.36,0
Shadow Beats,200086967.0,4348391.0,K-Pop,1991.0,65.0,63.0,-0.27,60.0,0.39,0.86,0.16,1
Horizon Flow,646619274.0,3647435.0,Pop,2004.0,26.0,67.0,-0.84,40.0,0.13,0.87,0.51,0
Ava & The Ocean,73185306.0,2799905.0,Blues,2003.0,94.0,83.0,0.96,70.0,0.59,0.62,0.49000000000000005,1
Samantha Lee,500028113.99999994,523620.0,Trap,2024.0,7.000000000000001,60.0,0.69,86.0,0.84,0.97,0.33,0
Ava & The Ocean,392343028.0,4154414.0,House,2015.0,38.0,80.0,-0.92,73.0,0.18,0.48,0.61,1
EchoSync,608833883.0,3214650.0,R&B,2004.0,93.0,97.0,-0.42999999999999994,39.0,0.8999999999999999,0.46,0.66,0
Aurora Soundwave,212279025.0,2248914.0,EDM,1997.0,80.0,64.0,-0.42999999999999994,21.0,0.82,0.65,0.4,1
Ava & The Ocean,245841692.00000003,2638197.0,House,2024.0,19.0,54.0,-0.65,71.0,0.99,0.11,0.58,1
Samantha Lee,192813109.0,1320890.0,Country,2022.0,51.00000000000001,80.0,-0.38,77.0,0.49000000000000005,0.18,0.61,1
Liam Harper,347074253.0,2790032.0,Jazz,2024.0,4.0,37.0,0.3799999999999999,28.000000000000004,0.89,0.37,0.18,1
Ava & The Ocean,711728897.0,1029152.0,Rock,1996.0,9.0,42.0,0.97,70.0,0.23,0.07,0.86,0
ElectroPulse,409097600.0,1876402.0000000002,House,1994.0,82.0,39.0,-0.52,99.0,0.2,0.29,0.65,1
Aurora Soundwave,795245062.0,361957.0,Pop,2019.0,55.0,64.0,0.44999999999999996,17.0,0.46,0.55,0.62,0
Celestial Harmony,640072938.0,517260.0,Punk,2005.0,6.0,70.0,0.21999999999999997,80.0,0.62,0.44,0.72,0
Celestial Harmony,482786325.00000006,1845516.0,Metal,2016.0,41.0,72.0,-0.29000000000000004,47.0,0.28,0.43,0.17,0
DJ Thunder,798372099.0,2969546.0,Blues,1995.0,48.0,96.0,-0.56,58.99999999999999,0.66,0.88,0.28,1
Samantha Lee,469681889.00000006,4359518.0,Latin,1999.0,21.0,43.0,-0.12,79.0,0.76,0.42,0.73,0
Crimson Echo,736843459.0,4867972.0,Indie,2011.9999999999998,10.0,77.0,-0.21999999999999997,35.0,0.82,0.41,0.38,1
The Midnight Howl,131874983.0,390414.0,Drum & Bass,2020.0,93.0,58.99999999999999,0.8199999999999998,80.0,0.6,0.73,0.41,1
The Midnight Howl,594370301.0,3798874.0,Rock,2022.0,64.0,88.0,0.10000000000000009,3.0,0.32,0.32,0.77,0
Retro Resonance,257766063.0,780288.0,Lo-Fi,2025.0,13.0,80.0,0.28,73.0,0.79,0.18,0.71,0
Ava & The Ocean,223738309.0,79275.0,Metal,2020.0,96.0,61.99999999999999,0.55,92.0,0.68,0.82,0.49000000000000005,0
Firefly Symphony,280815325.0,1198408.0,Synthwave,1990.0,85.0,47.0,-0.010000000000000009,9.0,0.16,0.42,0.69,0
Neon Vortex,207655182.0,4261584.0,R&B,2023.0,84.0,55.0,-0.13,40.0,0.12,0.8,0.43,0
Neon Vortex,760268096.0,274095.0,Punk,2003.0,50.0,5.0,0.5899999999999999,5.0,0.5,0.83,0.27,0
Liam Harper,545584178.0,2182016.0,Country,2016.0,17.0,14.000000000000002,0.3799999999999999,35.0,0.34,0.98,0.43,1
Urban Rhapsody,660159988.0,169558.0,Rock,2011.9999999999998,89.0,54.0,-0.25,91.0,0.9699999999999999,0.47,0.48,0
Samantha Lee,480566539.0,3079540.0,Jazz,2025.0,20.0,13.0,0.47,16.0,0.42,0.52,0.35,1
Luna Nova,704308147.0,1143327.0,Metal,1991.0,9.0,84.0,0.98,7.000000000000001,0.5,0.63,0.88,0
Crimson Echo,523628060.0,3832557.0,Reggae,2001.0,71.0,73.0,-0.08999999999999997,78.0,0.24,0.28,0.34,0
Bass Surge,66035486.0,1639899.0,Reggae,2011.9999999999998,15.0,82.0,-0.53,20.0,0.61,0.5,0.6,0
Samantha Lee,427724702.0,4978688.0,Latin,2023.0,76.0,61.0,0.1499999999999999,61.0,0.6,0.69,0.23,0
